HORAS AL MES	DIVISION	AREA DE PERSONAL	SEXO	EDAD DEL EMPLEADO	CATEGORIA	SALARIOS MINIMOS
(180, 210]	SALUD IPS	ESPECIALISTA	Masculino	(30 - 40]	Alto	(29 - 30]
(180, 210]	SALUD IPS	ESPECIALISTA	Femenino	(30 - 40]	Alto	(29 - 30]
(180, 210]	SALUD IPS	ESPECIALISTA	Masculino	(30 - 40]	Alto	(29 - 30]
(180, 210]	SALUD IPS	ESPECIALISTA	Masculino	(30 - 40]	Alto	(29 - 30]
(180, 210]	SALUD IPS	ESPECIALISTA	Masculino	(30 - 40]	Alto	(29 - 30]
(150, 180]	SALUD IPS	ESPECIALISTA	Femenino	(50 - 60]	Alto	(24 - 25]
(150, 180]	SALUD IPS	ESPECIALISTA	Femenino	(50 - 60]	Alto	(24 - 25]
(210, 240]	SALUD IPS	ESPECIALISTA	Masculino	(30 - 40]	Alto	(24 - 25]
(210, 240]	ADMINISTRACION	GERENTE	Masculino	(40 - 50]	Alto	(20 - 21]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(30 - 40]	Basico	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Femenino	(30 - 40]	Basico	(01 - 02]
(210, 240]	RECREACION Y TURISMO	AUXILIAR	Femenino	(40 - 50]	Basico	(01 - 02]
(210, 240]	ADMINISTRACION	AUXILIAR	Femenino	(20 - 30]	Basico	(01 - 02]
(210, 240]	SALUD IPS	ASESOR	Femenino	(20 - 30]	Basico	(01 - 02]
(210, 240]	SALUD IPS	AUXILIAR	Masculino	(50 - 60]	Basico	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(40 - 50]	Basico	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Basico	(01 - 02]
(210, 240]	DROGUERIAS	AUXILIAR	Femenino	(40 - 50]	Basico	(01 - 02]
(210, 240]	SUPERMERCADOS	AUXILIAR	Femenino	(20 - 30]	Basico	(01 - 02]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	DOCENTES GJC	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
